%time r y
0 0 0
0.02 0 0
0.04 0 0
0.06 0.001885 0
0.08 0.001885 1.66847522124e-05
0.1 0.010228 7.94404456046e-05
0.12 0.010228 0.00026735720734
0.14 0.014163 0.000696436139524
0.16 0.014163 0.00141224204482
0.18 0.016651 0.00240294436636
0.2 0.016651 0.00363699393015
0.22 0.026319 0.00506774085802
0.24 0.026319 0.00671434112891
0.26 0.050984 0.00864756194308
0.28 0.050984 0.0110465560173
0.3 0.065362 0.0141709401857
0.32 0.065362 0.0181124130757
0.34 0.067741 0.0228263762074
0.36 0.067741 0.0281445913649
0.38 0.052274 0.0338050688851
0.4 0.052274 0.0394275505634
0.42 0.029 0.0445501790206
0.44 0.029 0.0487502359978
0.46 -0.002408 0.0516504070002
0.48 -0.002408 0.0529203407014
0.5 -0.039668 0.0522791804471
0.52 -0.039668 0.0495160433368
0.54 -0.067342 0.0444836837142
0.56 -0.067342 0.0372280232713
0.58 -0.09183 0.0279478041061
0.6 -0.09183 0.0169015419506
0.62 -0.115336 0.00438758111687
0.64 -0.115336 -0.00929353435049
0.66 -0.148361 -0.0238497825441
0.68 -0.148361 -0.0390991844649
0.7 -0.176663 -0.0549539335169
0.72 -0.176663 -0.0712792608708
0.74 -0.21622 -0.0879085855488
0.76 -0.21622 -0.104796885416
0.78 -0.254581 -0.121997284847
0.8 -0.254581 -0.139530083275
0.82 -0.2886 -0.15738958209
0.84 -0.2886 -0.175521436815
0.86 -0.325664 -0.193834242189
0.88 -0.325664 -0.212275255815
0.9 -0.361024 -0.230824071777
0.92 -0.361024 -0.249445072839
0.94 -0.392756 -0.268092069746
0.96 -0.392756 -0.286694919996
0.98 -0.432354 -0.305166786082
1 -0.432354 -0.323512126583
1.02 -0.47302 -0.341807822894
1.04 -0.47302 -0.360126368132
1.06 -0.508295 -0.378534837355
1.08 -0.508295 -0.397036408193
1.1 -0.534133 -0.415583196028
1.12 -0.534133 -0.434051954175
1.14 -0.547601 -0.452263307017
1.16 -0.547601 -0.469972880135
1.18 -0.567142 -0.486892663909
1.2 -0.567142 -0.502872741602
1.22 -0.581824 -0.517878118692
1.24 -0.581824 -0.531871046913
1.26 -0.597219 -0.544813936297
1.28 -0.597219 -0.556719947357
1.3 -0.609813 -0.567642205499
1.32 -0.609813 -0.577633140113
1.34 -0.615168 -0.586743126011
1.36 -0.615168 -0.594979831729
1.38 -0.604365 -0.602316615816
1.4 -0.604365 -0.608621123855
1.42 -0.594858 -0.613681164705
1.44 -0.594858 -0.617382006053
1.46 -0.583917 -0.61968990339
1.48 -0.583917 -0.620613520386
1.5 -0.560728 -0.620195714408
1.52 -0.560728 -0.618409723911
1.54 -0.550315 -0.615174576506
1.56 -0.550315 -0.610589856936
1.58 -0.548983 -0.604894984192
1.6 -0.548983 -0.598401198783
1.62 -0.540412 -0.591467188111
1.64 -0.540412 -0.584332935807
1.66 -0.538489 -0.57713579808
1.68 -0.538489 -0.570048387011
1.7 -0.522291 -0.563264388361
1.72 -0.522291 -0.556802542731
1.74 -0.494864 -0.550541749872
1.76 -0.494864 -0.54427920426
1.78 -0.475924 -0.537752945649
1.8 -0.475924 -0.530836942298
1.82 -0.463872 -0.523517378562
1.84 -0.463872 -0.515857370716
1.86 -0.448585 -0.507980082015
1.88 -0.448585 -0.499963234299
1.9 -0.435202 -0.491846133203
1.92 -0.435202 -0.483681176195
1.94 -0.430962 -0.475528997182
1.96 -0.430962 -0.467518838044
1.98 -0.433078 -0.459830098102
2 -0.433078 -0.452651728257
2.02 -0.433389 -0.446174051157
2.04 -0.433389 -0.44050960139
2.06 -0.421694 -0.435704979047
2.08 -0.421694 -0.431661630841
2.1 -0.400819 -0.428168272639
2.12 -0.400819 -0.424955016634
2.14 -0.389752 -0.421713835419
2.16 -0.389752 -0.418284760767
2.18 -0.382146 -0.414631090057
2.2 -0.382146 -0.410760745381
2.22 -0.380595 -0.406718008687
2.24 -0.380595 -0.402597916452
2.26 -0.384126 -0.398532898602
2.28 -0.384126 -0.394672327683
2.3 -0.378739 -0.391174122333
2.32 -0.378739 -0.388073656653
2.34 -0.371493 -0.385307508213
2.36 -0.371493 -0.38279719076
2.38 -0.364469 -0.380454118635
2.4 -0.364469 -0.378203079409
2.42 -0.342751 -0.375982084088
2.44 -0.342751 -0.373609961589
2.46 -0.315277 -0.370817121186
2.48 -0.315277 -0.367351126139
2.5 -0.294272 -0.362981348274
2.52 -0.294272 -0.357611046725
2.54 -0.277262 -0.351253751596
2.56 -0.277262 -0.343989645483
2.58 -0.246253 -0.335950148505
2.6 -0.246253 -0.327144169848
2.62 -0.201545 -0.317483162607
2.64 -0.201545 -0.306805646438
2.66 -0.164181 -0.29489688803
2.68 -0.164181 -0.281692937482
2.7 -0.141014 -0.267251751769
2.72 -0.141014 -0.251788344733
2.74 -0.098459 -0.235636321072
2.76 -0.098459 -0.218916079575
2.78 -0.058149 -0.201574967518
2.8 -0.058149 -0.183613931361
2.82 -0.019121 -0.165075050514
2.84 -0.019121 -0.146023634405
2.86 0.012044 -0.12654155273
2.88 0.012044 -0.106779428767
2.9 0.054418 -0.0869374768824
2.92 0.054418 -0.0670801332709
2.94 0.096486 -0.0471618311156
2.96 0.096486 -0.0271517054916
2.98 0.135271 -0.00703072097795
3 0.135271 0.0131835806195
3.02 0.166527 0.0334450349228
3.04 0.166527 0.0536484021032
3.06 0.198087 0.0736448495393
3.08 0.198087 0.0933248899171
3.1 0.232196 0.112613864706
3.12 0.232196 0.131487720031
3.14 0.273047 0.149963873482
3.16 0.273047 0.168129725291
